sheet 1,sheet 2
-0.07887,1.11885
-0.07466,1.11927
-0.07046,1.1198
-0.06621,1.12033
-0.06192,1.12086
-0.05757,1.12141
-0.05318,1.12196
-0.04873,1.12251
-0.04429,1.1232
-0.0398,1.12391
-0.03526,1.12464
-0.03064,1.12537
-0.02596,1.12612
-0.02121,1.12688
-0.01648,1.12779
-0.01168,1.12873
-0.00681,1.12968
-0.00185,1.13066
0.0032,1.13164
0.00828,1.13273
0.01338,1.13392
0.01857,1.13513
0.02386,1.13637
0.02926,1.13763
0.03468,1.13901
0.04013,1.1405
0.04569,1.14203
0.05137,1.14359
0.05717,1.14519
0.0629,1.147
0.06875,1.14886
0.07474,1.15076
0.08088,1.15271
0.0869,1.1549
0.09307,1.15714
0.09938,1.15944
0.10578,1.16185
0.11209,1.16448
0.11857,1.16718
0.12521,1.16994
0.1317,1.17296
0.13831,1.17609
0.14509,1.1793
0.15172,1.18276
0.15841,1.18637
0.16528,1.19007
0.1719,1.19406
0.1786,1.19818
0.18539,1.20244
0.19187,1.207
0.19851,1.21167
0.2049,1.21659
0.21122,1.2217
0.21747,1.227
0.22338,1.23255
0.22936,1.23824
0.23475,1.24422
0.24025,1.25032
0.24509,1.2567
0.24995,1.26319
0.25412,1.26993
0.25824,1.27678
0.2616,1.28383
0.26489,1.29097
0.26731,1.29829
0.26964,1.30567
0.27106,1.31316
0.27229,1.32069
0.27271,1.32827
0.07019,1.33586
0.0676,1.33987
0.06507,1.3438
0.06258,1.34764
0.06012,1.3514
0.05758,1.35509
0.0551,1.3587
0.05266,1.36224
0.05026,1.36572
0.04791,1.36913
0.04559,1.37249
0.04323,1.37579
0.04086,1.37902
0.03853,1.3822
0.03624,1.38533
0.03397,1.38842
0.03174,1.39146
0.02954,1.39447
0.02732,1.39743
0.02507,1.40033
0.02284,1.4032
0.02064,1.40603
0.01846,1.40884
0.0163,1.41162
0.01416,1.41437
0.01204,1.41709
0.00991,1.41979
0.00774,1.42243
0.00558,1.42505
0.00344,1.42766
0.00131,1.43024
-0.00081,1.43281
-0.00292,1.43537
-0.00501,1.43792
-0.0071,1.44046
-0.00923,1.44295
-0.01138,1.44542
-0.01352,1.44788
-0.01565,1.45033
-0.01779,1.45278
-0.01991,1.45523
-0.02204,1.45767
-0.02417,1.46012
-0.0263,1.46256
-0.02848,1.46496
-0.03068,1.46735
-0.03288,1.46975
-0.03508,1.47214
-0.0373,1.47455
-0.03951,1.47696
-0.04174,1.47938
-0.04398,1.48181
-0.04623,1.48426
-0.04854,1.48665
-0.05087,1.48905
-0.05322,1.49146
-0.05558,1.49389
-0.05796,1.49633
-0.06036,1.4988
-0.06277,1.50128
-0.06521,1.50379
-0.0677,1.50629
-0.07024,1.50876
-0.0728,1.51125
-0.0754,1.51377
-0.07802,1.51632
-0.08067,1.51891
-0.08336,1.52152
-0.08609,1.52417
-0.08888,1.52679
-0.09172,1.52941
-0.09461,1.53206
-0.09755,1.53475
-0.10053,1.53749
-0.10355,1.54028
-0.10664,1.54311
-0.1098,1.54592
-0.11303,1.54872
-0.11632,1.55157
-0.11968,1.55448
-0.1231,1.55744
-0.1266,1.56047
-0.13017,1.56352
-0.13385,1.56651
-0.13761,1.56957
-0.14145,1.57271
-0.14538,1.57591
-0.14942,1.5792
-0.15356,1.58242
-0.15781,1.58567
-0.16217,1.589
-0.16665,1.59242
-0.17125,1.59594
-0.17598,1.59934
-0.18084,1.6028
-0.18584,1.60637
-0.19099,1.61005
-0.19628,1.61366
-0.20172,1.61726
-0.20733,1.62098
-0.21312,1.62482
-0.21905,1.6285
-0.22517,1.63223
-0.23148,1.63609
-0.23798,1.63991
-0.24463,1.64362
-0.25152,1.64746
-0.2586,1.65126
-0.26583,1.6549
-0.27332,1.65866
-0.28096,1.66223
-0.28879,1.66572
-0.29687,1.66927
-0.30502,1.6724
-0.31345,1.67565
-0.32194,1.67849
-0.33064,1.68128
-0.33941,1.68371
-0.34832,1.68595
-0.35725,1.68779
-0.36628,1.68938
-0.37522,1.69044
-0.38426,1.69128
-0.39304,1.69137
-0.40187,1.69122
-0.41037,1.69033
-0.41872,1.68897
-0.42686,1.68712
-0.43451,1.68443
-0.44194,1.68135
-0.44888,1.67755
-0.45532,1.67309
-0.46143,1.66822
-0.46683,1.66257
-0.47174,1.65643
-0.47626,1.64995
-0.47991,1.6427
-0.48318,1.6352
-0.4859,1.62735
-0.48794,1.61905
-0.48967,1.61067
-0.49065,1.60185
-0.49131,1.59301
-0.49147,1.584
-0.4912,1.57492
-0.49063,1.56585
-0.4896,1.55671
-0.48837,1.5477
-0.48675,1.53868
-0.48496,1.52981
-0.48293,1.52105
-0.48066,1.5124
-0.47837,1.50399
-0.4757,1.49561
-0.47313,1.48752
-0.47032,1.47955
-0.46744,1.47177
